"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1972.3","","","","1"
"2006-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1975.6","","","","1"
"2006-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1985.4","","","","1"
"2006-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1998.2","","","","1"
"2006-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2000.4","","","","1"
"2006-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1998.3","","","","1"
"2006-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2001.9","","","","1"
"2006-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.1","","","","1"
"2006-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2026.3","","","","1"
"2006-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2033.7","","","","1"
"2007-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2032.1","","","","1"
"2007-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2030.0","","","","1"
"2007-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2018.7","","","","1"
"2007-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2013.1","","","","1"
"2007-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2010.2","","","","1"
"2007-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2016.9","","","","1"
"2007-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2006.7","","","","1"
"2007-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1993.5","","","","1"
"2007-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1978.9","","","","1"
"2007-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1990.2","","","","1"
"2007-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1999.1","","","","1"
"2007-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2008.4","","","","1"
"2008-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2002.9","","","","1"
"2008-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2009.7","","","","1"
"2008-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2021.6","","","","1"
"2008-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2044.2","","","","1"
"2008-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2067.5","","","","1"
"2008-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2068.6","","","","1"
"2008-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2048.8","","","","1"
"2008-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2021.4","","","","1"
"2008-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2013.2","","","","1"
"2008-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2031.2","","","","1"
"2008-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2040.7","","","","1"
"2008-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2049.0","","","","1"
"2009-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2027.9","","","","1"
"2009-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2018.9","","","","1"
"2009-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2011.3","","","","1"
"2009-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.9","","","","1"
"2009-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2003.8","","","","1"
"2009-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1979.9","","","","1"
"2009-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1955.9","","","","1"
