"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,145.6,"$447,400 7.30%",144.7,"$544,800 8.39%",149.2,"$426,900 8.51%",142.0,"$323,500 6.13%",143.7,"$303,300 4.06%"
City of Toronto,150.5,"$482,600 6.29%",151.6,"$660,000 8.36%",158.5,"$529,300 9.31%",146.5,"$370,200 5.02%",146.7,"$320,100 3.31%"
Toronto W01,159.2,"$567,800 7.42%",160.1,"$840,100 12.43%",165.2,"$632,500 9.84%",194.8,"$351,500 17.92%",140.6,"$322,800 -3.63%"
Toronto W02,163.0,"$572,400 13.67%",161.4,"$664,800 11.54%",182.5,"$557,600 17.14%",128.1,"$366,800 4.83%",110.3,"$326,600 -1.52%"
Toronto W03,146.9,"$375,700 6.06%",147.8,"$403,900 7.26%",150.0,"$386,100 5.71%",-,- -,131.9,"$216,300 -7.83%"
Toronto W04,133.3,"$358,100 7.76%",139.4,"$441,800 7.89%",133.6,"$387,500 1.44%",134.0,"$323,000 10.47%",120.7,"$179,500 7.67%"
Toronto W05,126.1,"$335,600 4.39%",133.1,"$450,700 5.38%",126.4,"$382,300 4.38%",125.5,"$211,000 7.63%",114.0,"$156,300 -0.78%"
Toronto W06,144.6,"$413,500 5.70%",155.7,"$496,800 3.04%",143.6,"$441,000 -2.97%",149.3,"$423,200 13.19%",135.5,"$332,300 12.64%"
Toronto W07,142.2,"$613,300 0.92%",151.7,"$665,400 3.90%",145.2,"$595,500 2.25%",115.8,"$425,800 -17.52%",106.3,"$431,200 -8.68%"
Toronto W08,136.3,"$528,700 2.56%",148.3,"$778,200 6.16%",150.6,"$559,900 2.94%",129.8,"$313,000 9.17%",123.2,"$293,200 -2.53%"
Toronto W09,123.8,"$374,900 -1.43%",149.8,"$555,800 8.63%",132.8,"$379,700 6.24%",143.8,"$361,700 10.19%",85.3,"$128,800 -22.24%"
Toronto W10,127.5,"$300,100 5.46%",131.8,"$388,200 6.81%",130.1,"$352,800 6.38%",109.2,"$196,300 -9.15%",124.7,"$199,000 5.59%"
Toronto C01,173.5,"$406,500 7.03%",194.6,"$697,600 15.90%",195.3,"$678,600 17.44%",166.2,"$484,900 4.20%",169.8,"$354,000 5.47%"
Toronto C02,163.4,"$733,000 8.50%",155.4,"$1,176,300 12.36%",174.4,"$916,200 16.66%",170.7,"$780,100 13.05%",155.6,"$450,400 3.87%"
Toronto C03,154.4,"$736,800 7.30%",152.4,"$858,200 7.10%",156.7,"$575,500 9.27%",-,- -,155.7,"$426,700 -1.08%"
Toronto C04,153.2,"$933,400 8.96%",154.1,"$1,104,600 9.37%",153.2,"$734,400 6.91%",153.7,"$574,300 20.83%",150.1,"$366,300 10.29%"
Toronto C06,155.0,"$556,500 10.40%",156.1,"$666,000 11.74%",141.7,"$521,300 6.06%",139.6,"$380,900 7.72%",154.9,"$342,300 9.24%"
Toronto C07,156.1,"$490,200 7.58%",163.8,"$746,300 14.15%",152.4,"$561,000 17.05%",130.7,"$385,000 6.87%",154.1,"$353,100 2.60%"
Toronto C08,163.1,"$409,100 2.77%",156.2,"$482,600 4.62%",156.7,"$638,800 3.84%",173.4,"$510,200 -1.42%",164.2,"$371,000 2.75%"
Toronto C09,132.5,"$1,017,200 -2.14%",129.8,"$1,630,900 -3.06%",147.4,"$1,199,600 5.51%",161.1,"$831,600 11.33%",131.0,"$434,000 -2.31%"
Toronto C10,165.2,"$551,200 3.19%",147.6,"$907,800 0.96%",157.3,"$777,400 1.88%",206.3,"$464,900 8.18%",169.6,"$405,600 2.73%"
Toronto C11,136.4,"$546,900 -0.07%",154.6,"$1,067,300 10.04%",166.0,"$751,100 13.93%",110.0,"$175,400 -4.68%",121.2,"$175,800 -8.67%"
Toronto C12,146.3,"$1,151,400 -8.33%",140.8,"$1,526,100 0.07%",151.9,"$656,200 2.64%",137.6,"$445,300 -43.49%",165.1,"$532,300 -4.46%"
Toronto C13,139.8,"$516,600 5.43%",148.3,"$806,300 5.85%",144.9,"$467,100 11.29%",143.1,"$407,000 -6.53%",131.2,"$282,200 2.90%"
Toronto C14,160.7,"$545,600 8.43%",174.4,"$957,600 17.28%",181.8,"$885,400 27.49%",186.3,"$629,700 28.13%",153.8,"$389,300 3.64%"
Toronto C15,152.2,"$490,500 8.64%",160.7,"$756,600 5.86%",152.8,"$498,400 8.83%",156.5,"$386,300 9.36%",141.7,"$308,400 8.50%"
Toronto E01,175.2,"$528,900 8.75%",174.3,"$580,500 10.81%",175.1,"$548,600 10.06%",177.6,"$359,200 -16.97%",194.6,"$461,600 2.80%"
Toronto E02,161.1,"$592,400 8.63%",156.7,"$689,200 9.66%",165.7,"$542,900 9.01%",148.6,"$496,800 -15.28%",157.0,"$411,000 3.77%"
Toronto E03,153.4,"$478,300 9.26%",158.1,"$525,800 11.50%",147.9,"$483,800 5.34%",-,- -,129.5,"$222,100 2.29%"
Toronto E04,145.3,"$363,500 11.77%",149.1,"$440,100 10.94%",145.7,"$352,600 7.13%",140.7,"$301,500 2.03%",145.9,"$219,400 21.68%"
Toronto E05,137.8,"$378,300 2.68%",153.8,"$542,500 10.33%",152.5,"$421,300 9.48%",139.0,"$302,900 8.93%",119.9,"$236,400 -10.92%"
Toronto E06,153.9,"$437,800 5.92%",153.9,"$441,400 5.41%",156.5,"$371,300 4.13%",-,- -,143.1,"$330,000 1.49%"
Toronto E07,143.6,"$364,600 9.95%",153.5,"$502,700 12.37%",152.1,"$397,100 14.79%",139.4,"$301,300 2.35%",122.5,"$208,900 -0.24%"
Toronto E08,134.5,"$354,400 3.54%",147.0,"$459,600 7.06%",138.3,"$340,300 -3.08%",134.1,"$274,600 5.92%",109.0,"$171,400 -5.63%"
Toronto E09,134.6,"$324,600 4.02%",141.5,"$403,300 6.55%",139.6,"$342,500 8.13%",125.8,"$236,400 5.89%",128.1,"$251,300 0.31%"
Toronto E10,137.5,"$398,600 5.44%",140.8,"$448,900 7.40%",143.0,"$366,500 7.44%",127.8,"$227,100 5.62%",88.0,"$141,800 -20.43%"
Toronto E11,131.9,"$316,100 2.25%",142.4,"$416,400 3.71%",137.2,"$332,000 5.30%",110.3,"$216,200 4.75%",119.8,"$178,600 2.83%"
