"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,150.9,"$460,300 7.10%",150.6,"$560,000 8.42%",155.1,"$438,200 8.16%",148.1,"$324,400 7.01%",147.0,"$295,200 3.23%"
City of Toronto,155.5,"$509,600 6.87%",158.0,"$685,000 10.03%",163.9,"$543,500 9.49%",153.1,"$370,300 6.99%",149.8,"$309,300 2.81%"
Toronto W01,163.5,"$667,200 9.58%",160.7,"$828,300 9.25%",169.1,"$652,500 12.81%",204.8,"$421,700 15.77%",147.8,"$344,900 5.35%"
Toronto W02,173.9,"$627,300 15.17%",173.4,"$711,700 12.45%",193.6,"$593,000 17.48%",135.0,"$372,200 8.52%",117.7,"$489,200 2.79%"
Toronto W03,154.1,"$398,000 9.52%",154.9,"$421,300 10.33%",157.5,"$403,500 10.06%",-,- -,133.6,"$247,800 -5.32%"
Toronto W04,137.8,"$360,800 8.16%",144.3,"$455,400 11.00%",138.9,"$404,500 9.20%",138.5,"$337,000 8.54%",124.3,"$183,100 3.41%"
Toronto W05,133.5,"$317,900 8.10%",140.9,"$469,700 9.82%",133.3,"$389,900 8.82%",128.5,"$211,500 4.05%",124.3,"$163,300 5.43%"
Toronto W06,147.3,"$427,600 10.84%",165.3,"$524,600 12.14%",154.0,"$466,900 12.16%",153.3,"$451,700 10.53%",130.1,"$321,800 10.07%"
Toronto W07,149.6,"$637,600 9.68%",158.2,"$683,700 9.10%",154.2,"$632,300 9.59%",126.9,"$466,500 7.36%",105.8,"$429,000 -0.38%"
Toronto W08,139.6,"$567,900 5.68%",149.8,"$783,600 7.69%",156.9,"$589,400 7.69%",135.2,"$330,500 13.52%",127.8,"$257,300 2.40%"
Toronto W09,134.9,"$346,700 12.60%",152.8,"$571,700 8.83%",135.6,"$383,800 7.70%",142.8,"$362,200 5.86%",108.5,"$139,100 19.76%"
Toronto W10,134.4,"$311,900 9.80%",144.1,"$424,000 13.73%",143.0,"$388,600 12.78%",112.7,"$203,000 -1.83%",124.5,"$190,100 5.42%"
Toronto C01,178.7,"$443,200 7.39%",194.9,"$688,000 13.91%",194.8,"$675,900 13.72%",176.9,"$530,900 8.13%",176.2,"$366,700 6.59%"
Toronto C02,169.7,"$805,800 8.23%",157.2,"$1,246,000 7.75%",172.5,"$907,700 9.18%",177.2,"$828,700 14.32%",169.8,"$473,500 8.36%"
Toronto C03,160.9,"$828,100 7.41%",157.6,"$949,800 6.78%",163.6,"$605,700 10.54%",-,- -,168.1,"$444,100 6.59%"
Toronto C04,155.8,"$965,300 7.89%",156.9,"$1,096,800 10.81%",156.5,"$748,200 8.30%",149.8,"$559,600 -0.33%",151.3,"$359,700 -0.26%"
Toronto C06,160.4,"$634,700 11.39%",163.7,"$700,700 12.51%",151.1,"$555,700 14.56%",136.3,"$371,900 2.10%",155.9,"$344,700 9.79%"
Toronto C07,154.0,"$528,900 1.05%",170.0,"$778,200 11.40%",156.3,"$555,500 11.17%",129.0,"$378,700 2.95%",145.8,"$343,400 -6.48%"
Toronto C08,165.4,"$425,900 2.35%",162.1,"$503,800 6.43%",162.3,"$671,800 6.78%",165.5,"$501,900 -7.07%",166.3,"$366,800 2.09%"
Toronto C09,140.9,"$1,046,300 6.10%",124.5,"$1,563,900 4.01%",140.0,"$1,139,200 1.82%",165.2,"$852,700 7.83%",143.1,"$474,100 -0.69%"
Toronto C10,170.4,"$664,700 5.71%",156.3,"$959,100 6.47%",163.7,"$808,500 4.87%",221.6,"$508,200 3.55%",172.2,"$412,600 5.32%"
Toronto C11,139.5,"$499,900 -0.50%",150.5,"$1,007,600 5.84%",160.3,"$703,400 5.88%",118.4,"$188,800 7.44%",122.8,"$174,800 -11.34%"
Toronto C12,150.9,"$1,293,200 -0.07%",144.8,"$1,556,200 2.48%",157.4,"$680,100 4.24%",145.3,"$492,200 -1.16%",170.0,"$534,700 -4.82%"
Toronto C13,145.9,"$538,300 4.81%",155.0,"$830,500 8.16%",151.5,"$486,100 11.40%",172.4,"$490,900 25.02%",134.9,"$266,900 -1.75%"
Toronto C14,160.8,"$546,400 2.62%",177.4,"$962,500 9.04%",179.8,"$877,100 9.70%",187.1,"$632,200 21.57%",152.5,"$383,500 -1.49%"
Toronto C15,153.3,"$512,500 4.86%",173.1,"$811,400 11.03%",157.9,"$515,300 8.60%",165.5,"$407,800 10.33%",130.2,"$304,300 -4.48%"
Toronto E01,179.3,"$556,900 8.60%",178.9,"$602,700 11.39%",179.3,"$562,500 9.13%",189.1,"$382,400 -4.20%",184.4,"$437,400 -3.10%"
Toronto E02,166.5,"$619,400 8.19%",161.9,"$713,000 9.32%",172.3,"$574,700 7.75%",153.4,"$512,800 -3.94%",169.1,"$447,500 8.54%"
Toronto E03,160.4,"$494,100 10.85%",164.7,"$553,300 13.27%",153.0,"$498,200 5.44%",-,- -,141.2,"$211,200 6.89%"
Toronto E04,149.3,"$374,800 11.50%",156.0,"$460,600 11.83%",153.9,"$373,400 10.88%",155.5,"$336,100 4.50%",139.9,"$211,900 13.37%"
Toronto E05,143.7,"$384,300 2.79%",157.0,"$554,400 7.17%",155.3,"$428,000 5.50%",145.5,"$316,300 9.15%",128.9,"$253,200 -4.52%"
Toronto E06,168.7,"$476,700 16.02%",169.6,"$484,700 18.02%",170.9,"$404,200 11.77%",-,- -,153.7,"$338,900 6.37%"
Toronto E07,150.1,"$370,000 7.68%",157.5,"$515,500 5.70%",158.0,"$413,000 7.63%",153.5,"$331,900 8.56%",131.4,"$225,000 5.12%"
Toronto E08,148.3,"$363,500 10.84%",161.4,"$503,900 16.20%",153.8,"$393,600 8.46%",150.1,"$303,900 11.10%",122.3,"$195,300 -0.08%"
Toronto E09,140.1,"$338,300 5.34%",148.6,"$422,900 9.02%",144.3,"$354,100 8.41%",132.3,"$243,800 -0.30%",131.8,"$247,200 1.62%"
Toronto E10,149.1,"$422,100 7.42%",152.3,"$487,500 9.41%",152.3,"$396,100 7.86%",140.9,"$246,800 6.99%",101.6,"$163,800 -12.11%"
Toronto E11,139.3,"$307,100 3.34%",153.0,"$424,900 4.51%",145.7,"$330,600 7.13%",111.7,"$219,500 -1.24%",121.5,"$181,300 4.20%"
