"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,151.4,"$461,900 7.91%",151.2,"$562,200 9.25%",155.4,"$439,000 8.90%",147.7,"$323,500 7.34%",147.7,"$296,600 4.38%"
City of Toronto,156.5,"$512,900 7.86%",159.3,"$690,600 11.17%",164.5,"$545,500 10.11%",153.9,"$372,200 8.08%",150.8,"$311,400 4.07%"
Toronto W01,163.0,"$665,200 10.66%",159.1,"$820,000 10.18%",167.3,"$645,500 14.04%",209.9,"$432,200 18.52%",147.1,"$343,200 5.60%"
Toronto W02,175.7,"$633,700 16.59%",176.7,"$725,300 14.67%",195.6,"$599,200 18.76%",135.3,"$373,000 10.09%",115.4,"$479,600 5.39%"
Toronto W03,154.4,"$398,800 8.66%",155.1,"$421,800 10.00%",158.3,"$405,600 9.47%",-,- -,133.3,"$247,300 -2.77%"
Toronto W04,136.8,"$358,200 7.46%",144.0,"$454,400 10.85%",138.5,"$403,300 8.46%",139.0,"$338,200 11.11%",122.0,"$179,700 2.87%"
Toronto W05,133.6,"$318,100 8.97%",141.6,"$472,100 10.97%",134.1,"$392,200 10.19%",128.3,"$211,200 7.54%",122.2,"$160,500 3.21%"
Toronto W06,147.7,"$428,700 12.49%",165.8,"$526,200 13.25%",152.7,"$463,000 14.98%",155.4,"$457,900 12.28%",130.4,"$322,500 11.84%"
Toronto W07,149.6,"$637,600 10.16%",158.5,"$685,000 10.22%",152.7,"$626,100 10.81%",127.3,"$467,900 3.75%",105.3,"$427,000 -1.03%"
Toronto W08,140.4,"$571,200 6.61%",151.5,"$792,400 8.37%",156.2,"$586,800 10.00%",135.4,"$331,000 12.65%",127.9,"$257,500 3.56%"
Toronto W09,134.4,"$345,400 14.87%",152.9,"$572,000 8.06%",136.6,"$386,700 8.24%",144.6,"$366,800 7.91%",106.3,"$136,300 28.23%"
Toronto W10,133.0,"$308,700 9.38%",142.9,"$420,500 13.86%",141.4,"$384,200 11.43%",112.5,"$202,700 -3.10%",122.3,"$186,700 4.00%"
Toronto C01,180.5,"$447,700 9.00%",189.3,"$668,200 9.80%",188.1,"$652,600 9.11%",175.7,"$527,300 8.39%",178.9,"$372,300 9.02%"
Toronto C02,169.7,"$805,800 8.23%",157.0,"$1,244,400 10.49%",173.2,"$911,300 9.76%",179.9,"$841,300 17.05%",168.9,"$471,000 8.06%"
Toronto C03,163.3,"$840,500 8.65%",160.0,"$964,300 8.55%",166.6,"$616,800 12.04%",-,- -,170.1,"$449,400 9.81%"
Toronto C04,155.7,"$964,700 6.57%",157.9,"$1,103,800 9.88%",156.2,"$746,800 7.80%",150.5,"$562,300 -0.07%",147.1,"$349,700 -3.03%"
Toronto C06,161.4,"$638,700 12.40%",165.3,"$707,500 14.16%",154.2,"$567,100 16.55%",135.8,"$370,600 3.03%",155.8,"$344,500 9.56%"
Toronto C07,154.3,"$529,900 0.85%",172.2,"$788,300 13.81%",159.4,"$566,500 14.59%",128.8,"$378,100 5.06%",145.0,"$341,600 -8.29%"
Toronto C08,167.3,"$430,800 3.85%",161.3,"$501,300 6.19%",162.1,"$671,000 6.09%",171.3,"$519,500 -3.44%",168.4,"$371,400 3.50%"
Toronto C09,137.0,"$1,017,400 1.11%",127.4,"$1,600,400 4.77%",145.0,"$1,179,900 4.47%",169.9,"$877,000 12.97%",143.1,"$474,100 -3.31%"
Toronto C10,172.6,"$673,300 7.34%",159.9,"$981,200 9.90%",168.1,"$830,200 9.16%",223.4,"$512,300 6.33%",173.2,"$415,000 5.80%"
Toronto C11,135.1,"$484,100 -3.22%",155.2,"$1,039,100 8.91%",165.0,"$724,000 9.34%",115.3,"$183,900 4.91%",117.9,"$167,800 -14.13%"
Toronto C12,151.8,"$1,300,900 1.40%",145.7,"$1,565,900 3.26%",159.7,"$690,000 5.13%",146.4,"$495,900 3.46%",170.9,"$537,500 -2.90%"
Toronto C13,147.4,"$543,800 5.59%",157.8,"$845,500 9.89%",154.0,"$494,100 14.58%",164.9,"$469,600 19.58%",135.6,"$268,300 -1.88%"
Toronto C14,166.1,"$564,500 6.61%",180.9,"$981,500 11.94%",184.4,"$899,600 13.41%",194.9,"$658,600 24.38%",158.3,"$398,100 2.99%"
Toronto C15,154.5,"$516,500 5.46%",175.0,"$820,300 11.75%",163.0,"$531,900 12.49%",167.0,"$411,500 10.74%",129.6,"$302,900 -4.71%"
Toronto E01,180.0,"$559,000 8.50%",180.2,"$607,100 12.06%",179.8,"$564,100 8.57%",183.1,"$370,300 -6.01%",186.5,"$442,400 -1.43%"
Toronto E02,167.9,"$624,600 7.84%",162.5,"$715,700 8.33%",173.7,"$579,300 9.59%",162.7,"$543,900 0.12%",168.3,"$445,400 7.88%"
Toronto E03,161.2,"$496,600 10.87%",166.0,"$557,700 13.62%",154.2,"$502,100 6.13%",-,- -,140.7,"$210,500 4.84%"
Toronto E04,151.7,"$380,800 14.49%",158.4,"$467,700 14.78%",154.7,"$375,400 13.50%",155.5,"$336,100 5.85%",143.5,"$217,400 17.82%"
Toronto E05,144.3,"$385,900 3.81%",159.3,"$562,500 9.71%",156.9,"$432,500 7.54%",143.7,"$312,400 7.80%",128.6,"$252,700 -4.60%"
Toronto E06,168.0,"$474,700 16.50%",168.9,"$482,700 18.28%",170.1,"$402,300 13.10%",-,- -,152.6,"$336,500 5.31%"
Toronto E07,150.8,"$371,800 9.43%",158.9,"$520,100 7.29%",158.7,"$414,800 8.77%",152.9,"$330,600 9.84%",131.5,"$225,200 6.82%"
Toronto E08,147.5,"$361,500 10.49%",161.3,"$503,500 16.88%",152.9,"$391,300 9.14%",148.9,"$301,400 12.04%",120.3,"$192,100 -2.75%"
Toronto E09,141.2,"$340,900 6.65%",151.4,"$430,900 11.82%",146.7,"$360,000 11.39%",131.4,"$242,100 -0.90%",131.4,"$246,400 1.55%"
Toronto E10,149.9,"$424,400 8.70%",153.7,"$492,000 11.46%",155.2,"$403,700 10.78%",138.6,"$242,700 4.84%",96.0,"$154,700 -18.64%"
Toronto E11,139.8,"$308,200 4.80%",152.7,"$424,100 5.75%",145.7,"$330,600 7.77%",115.8,"$227,600 2.93%",121.9,"$181,900 5.54%"
