"",,Composite,,Single-Family Detached,,Single-Family Attached,,Townhouse,,Apartment
"",Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.
TREB Total,150.1,"$457,900 5.70%",149.7,"$556,700 7.01%",154.6,"$436,700 7.06%",146.4,"$320,700 4.50%",146.1,"$293,400 1.67%"
City of Toronto,154.0,"$504,700 5.12%",155.5,"$674,100 7.76%",163.1,"$540,900 8.44%",149.9,"$362,500 3.17%",149.3,"$308,300 1.56%"
Toronto W01,162.0,"$661,100 5.33%",161.5,"$832,400 8.24%",171.0,"$659,800 10.97%",204.9,"$421,900 12.89%",141.2,"$329,500 -4.85%"
Toronto W02,174.8,"$630,500 14.62%",173.0,"$710,100 12.78%",196.5,"$601,900 18.59%",134.7,"$371,400 7.93%",115.5,"$480,100 -6.63%"
Toronto W03,153.7,"$397,000 7.94%",154.0,"$418,800 8.83%",158.6,"$406,300 10.52%",-,- -,129.8,"$240,800 -15.00%"
Toronto W04,136.8,"$358,200 6.21%",145.0,"$457,600 9.77%",143.4,"$417,600 10.73%",139.6,"$339,600 9.49%",118.1,"$174,000 -2.56%"
Toronto W05,135.1,"$321,700 8.86%",141.2,"$470,700 9.88%",133.2,"$389,600 7.94%",116.4,"$191,600 -9.70%",137.9,"$181,100 19.50%"
Toronto W06,147.5,"$428,200 10.99%",164.5,"$522,100 12.06%",154.3,"$467,800 15.49%",158.4,"$466,700 10.00%",130.4,"$322,500 9.58%"
Toronto W07,149.1,"$635,500 9.55%",157.3,"$679,800 9.08%",154.3,"$632,700 12.38%",131.9,"$484,800 5.52%",101.3,"$410,800 -5.59%"
Toronto W08,137.4,"$559,000 3.23%",148.9,"$778,800 6.81%",157.7,"$592,400 10.05%",139.5,"$341,000 13.05%",123.1,"$247,800 -2.69%"
Toronto W09,138.5,"$355,900 11.51%",151.8,"$567,900 7.36%",136.2,"$385,500 6.74%",141.3,"$358,400 0.64%",118.9,"$152,500 19.38%"
Toronto W10,133.1,"$308,900 8.21%",142.4,"$419,000 11.95%",141.3,"$383,900 10.91%",106.7,"$192,200 -11.16%",124.4,"$189,900 5.42%"
Toronto C01,178.0,"$441,500 5.70%",194.8,"$687,600 11.76%",194.1,"$673,500 11.23%",168.1,"$504,500 0.54%",175.4,"$365,100 4.97%"
Toronto C02,163.3,"$775,400 1.62%",148.7,"$1,178,600 1.92%",161.0,"$847,100 1.83%",176.9,"$827,300 13.18%",165.7,"$462,100 3.76%"
Toronto C03,160.2,"$824,500 6.30%",156.8,"$945,000 5.31%",163.6,"$605,700 9.73%",-,- -,166.6,"$440,100 3.03%"
Toronto C04,153.0,"$947,900 6.62%",155.6,"$1,087,700 9.27%",155.6,"$743,900 11.86%",148.9,"$556,300 0.61%",141.8,"$337,100 -3.14%"
Toronto C06,155.5,"$615,300 6.73%",157.6,"$674,600 6.49%",152.3,"$560,100 9.65%",136.0,"$371,100 3.66%",153.0,"$338,300 7.67%"
Toronto C07,152.3,"$523,100 0.93%",163.1,"$746,600 5.57%",150.4,"$534,500 5.32%",128.5,"$377,200 4.47%",147.4,"$347,200 -3.09%"
Toronto C08,157.5,"$405,500 -3.26%",150.7,"$468,400 0.00%",153.1,"$633,700 0.53%",161.2,"$488,900 -11.48%",158.5,"$349,600 -3.59%"
Toronto C09,123.3,"$915,600 -5.88%",120.1,"$1,508,700 -1.56%",135.5,"$1,102,600 -3.97%",167.8,"$866,100 8.68%",120.6,"$399,600 -12.23%"
Toronto C10,170.6,"$665,500 4.73%",149.2,"$915,600 3.68%",157.0,"$775,400 2.95%",224.0,"$513,700 4.43%",176.4,"$422,700 4.69%"
Toronto C11,129.3,"$463,300 -7.97%",145.3,"$972,800 0.48%",157.0,"$688,900 1.88%",105.2,"$167,800 -3.22%",114.7,"$163,300 -16.46%"
Toronto C12,146.4,"$1,254,700 -2.33%",139.1,"$1,494,900 -0.29%",154.9,"$669,300 4.87%",143.5,"$486,100 -1.37%",167.7,"$527,500 -6.99%"
Toronto C13,145.3,"$536,000 3.56%",150.6,"$806,900 4.87%",147.3,"$472,600 6.97%",137.4,"$391,300 -2.07%",139.6,"$276,200 0.79%"
Toronto C14,161.6,"$549,200 3.26%",170.6,"$925,600 5.77%",170.9,"$833,700 4.98%",184.6,"$623,800 13.11%",156.6,"$393,800 1.49%"
Toronto C15,153.7,"$513,900 4.34%",169.1,"$792,700 9.88%",156.3,"$510,100 6.98%",159.4,"$392,700 3.91%",137.1,"$320,400 -1.01%"
Toronto E01,181.2,"$562,800 9.09%",179.0,"$603,000 9.95%",185.1,"$580,700 11.84%",188.0,"$380,200 -7.11%",175.6,"$416,500 -6.40%"
Toronto E02,162.6,"$604,800 5.45%",157.9,"$695,400 6.47%",168.7,"$562,700 5.64%",150.6,"$503,400 -5.88%",158.7,"$420,000 3.59%"
Toronto E03,156.7,"$482,700 7.62%",160.1,"$537,900 8.40%",154.9,"$504,400 7.05%",-,- -,132.1,"$197,600 3.93%"
Toronto E04,150.7,"$378,300 12.04%",153.8,"$454,100 9.16%",151.8,"$368,300 8.58%",155.9,"$336,900 5.27%",151.0,"$228,700 22.76%"
Toronto E05,142.3,"$380,500 0.64%",155.0,"$547,300 3.75%",153.3,"$422,500 3.16%",143.7,"$312,400 6.37%",128.9,"$253,200 -5.15%"
Toronto E06,164.0,"$463,400 12.10%",164.5,"$470,100 13.84%",167.0,"$395,000 7.67%",-,- -,145.0,"$319,700 2.26%"
Toronto E07,147.8,"$364,400 3.21%",153.9,"$503,700 2.87%",154.6,"$404,100 5.24%",147.6,"$319,200 2.22%",132.7,"$227,200 -1.26%"
Toronto E08,144.5,"$354,100 5.86%",156.8,"$489,500 12.16%",148.1,"$379,000 3.35%",149.8,"$303,300 12.80%",119.7,"$191,100 -7.42%"
Toronto E09,137.9,"$333,000 3.61%",146.8,"$417,800 6.61%",142.0,"$348,500 5.03%",131.9,"$243,100 4.27%",129.0,"$241,900 0.00%"
Toronto E10,146.8,"$415,600 5.23%",149.6,"$478,900 6.70%",151.0,"$392,700 6.71%",138.6,"$242,700 10.44%",102.2,"$164,700 -19.15%"
Toronto E11,143.0,"$315,300 7.84%",154.9,"$430,200 8.78%",145.9,"$331,100 6.73%",113.2,"$222,400 -0.88%",132.9,"$198,400 12.25%"
