"",Composite,,
"",Index,Benchmark,Yr./Yr. % Chg.
"",,,
TREB Total,154.0,"$469,800",2.87%
"",,,
City of Toronto,157.4,"$515,900",1.42%
"",,,
Toronto W01,160.4,"$654,600",0.31%
Toronto W02,179.9,"$648,900",3.39%
Toronto W03,159.5,"$412,000",3.91%
Toronto W04,141.0,"$369,200",2.92%
Toronto W05,137.8,"$328,100",4.16%
Toronto W06,147.2,"$427,300",1.94%
Toronto W07,148.1,"$631,200",1.23%
Toronto W08,138.8,"$564,700",0.00%
Toronto W09,138.3,"$355,400",3.21%
Toronto W10,136.7,"$317,300",4.43%
"",,,
Toronto C01,178.9,"$443,700",0.85%
Toronto C02,169.4,"$804,300",-0.59%
Toronto C03,169.5,"$872,400",3.61%
Toronto C04,155.0,"$960,300",-0.90%
Toronto C06,164.9,"$652,500",3.26%
Toronto C07,156.6,"$537,800",-0.63%
Toronto C08,166.6,"$429,000",-0.42%
Toronto C09,129.3,"$960,200",-5.55%
Toronto C10,173.0,"$674,800",2.31%
Toronto C11,142.0,"$508,800",3.35%
Toronto C12,149.4,"$1,280,400",-2.67%
Toronto C13,149.2,"$550,400",1.02%
Toronto C14,166.6,"$566,200",1.46%
Toronto C15,153.0,"$511,500",-0.84%
"",,,
Toronto E01,184.7,"$573,600",2.33%
Toronto E02,164.1,"$610,400",-1.74%
Toronto E03,157.9,"$486,400",-1.68%
Toronto E04,152.8,"$383,600",3.59%
Toronto E05,148.5,"$397,100",2.20%
Toronto E06,169.5,"$479,000",2.17%
Toronto E07,156.5,"$385,800",4.89%
Toronto E08,147.5,"$361,500",1.03%
Toronto E09,144.6,"$349,100",3.58%
Toronto E10,151.0,"$427,500",3.07%
Toronto E11,141.6,"$312,200",6.95%
2
