"",Composite,,
"",Index,Benchmark,Yr./Yr. % Chg.
"",,,
TREB Total,156.0,"$475,900",3.72%
"",,,
City of Toronto,159.5,"$522,700",2.97%
"",,,
Toronto W01,163.0,"$665,200",-0.85%
Toronto W02,180.3,"$650,300",3.86%
Toronto W03,164.8,"$425,700",7.15%
Toronto W04,144.5,"$378,400",4.48%
Toronto W05,140.1,"$333,600",5.34%
Toronto W06,147.7,"$428,700",0.48%
Toronto W07,154.3,"$657,600",3.21%
Toronto W08,138.8,"$564,700",1.02%
Toronto W09,142.7,"$366,700",5.08%
Toronto W10,138.8,"$322,200",3.81%
"",,,
Toronto C01,182.8,"$453,400",2.41%
Toronto C02,168.5,"$800,100",-0.82%
Toronto C03,172.6,"$888,300",8.15%
Toronto C04,154.5,"$957,200",-1.40%
Toronto C06,163.3,"$646,200",3.16%
Toronto C07,156.0,"$535,800",0.78%
Toronto C08,164.2,"$422,800",0.80%
Toronto C09,125.2,"$929,800",-5.44%
Toronto C10,179.5,"$700,200",3.46%
Toronto C11,145.7,"$522,100",11.90%
Toronto C12,149.0,"$1,276,900",-1.52%
Toronto C13,149.7,"$552,300",2.39%
Toronto C14,169.7,"$576,700",4.56%
Toronto C15,156.5,"$523,200",3.30%
"",,,
Toronto E01,184.7,"$573,600",2.84%
Toronto E02,168.7,"$627,500",3.75%
Toronto E03,157.9,"$486,400",0.06%
Toronto E04,157.1,"$394,400",5.58%
Toronto E05,149.9,"$400,900",5.19%
Toronto E06,172.0,"$486,000",3.24%
Toronto E07,162.1,"$399,600",8.87%
Toronto E08,151.7,"$371,800",3.62%
Toronto E09,147.5,"$356,200",6.12%
Toronto E10,155.9,"$441,400",4.56%
Toronto E11,144.2,"$317,900",2.56%
2
