Toronto C04,199.0,"$1,233,000",10.49%,207.7,"$1,451,800",11.31%,208.2,"$995,400",13.28%,168.4,"$629,100 4.73%",153.2,,"$364,200",2.89%
Toronto C06,212.7,"$848,500",13.87%,227.1,"$972,000",16.58%,199.3,"$744,400",15.27%,-,- -,195.9,,"$433,100",10.74%
Toronto C07,200.7,"$689,400",13.07%,252.0,"$1,153,700",21.21%,196.7,"$702,800",15.30%,169.0,"$496,200 13.73%",161.0,,"$379,300",3.80%
Toronto C08,185.5,"$477,700",5.40%,163.3,"$507,200",6.32%,199.9,"$833,600",5.94%,193.2,"$586,000 10.34%",185.8,,"$409,900",5.57%
Toronto C09,141.8,"$1,053,000",8.16%,130.3,"$1,636,800",6.63%,147.2,"$1,197,800",5.90%,174.8,"$902,300 6.39%",149.6,,"$495,600",9.28%
Toronto C10,207.7,"$810,200",6.40%,216.5,"$1,328,700",11.48%,213.0,"$1,052,000",11.23%,249.2,"$571,400 11.40%",200.5,,"$480,400",2.30%
Toronto C11,190.3,"$681,800",9.24%,187.9,"$1,260,100",10.08%,210.7,"$933,800",11.84%,127.4,"$203,200 11.85%",194.3,,"$276,500",8.67%
Toronto C12,186.4,"$1,597,400",12.70%,179.8,"$1,932,300",12.73%,213.4,"$915,900",16.10%,212.3,"$719,100 19.20%",191.1,,"$601,000",7.66%
Toronto C13,198.0,"$730,400",16.20%,222.9,"$1,194,300",20.29%,205.1,"$658,000",17.94%,195.3,"$556,200 18.44%",166.4,,"$329,300",9.83%
Toronto C14,200.9,"$682,700",10.45%,255.2,"$1,384,500",15.89%,220.8,"$1,077,100",13.70%,239.3,"$808,600 6.40%",175.7,,"$441,900",7.40%
Toronto C15,205.5,"$687,000",11.50%,257.1,"$1,205,300",20.76%,231.0,"$752,100",18.22%,213.2,"$525,300 9.73%",155.2,,"$362,700",2.31%
Toronto E01,238.1,"$740,000",11.05%,238.6,"$806,000",11.97%,247.5,"$780,400",8.84%,217.0,"$438,800 9.60%",209.1,,"$496,000",10.87%
Toronto E02,216.5,"$807,100",10.80%,194.3,"$855,700",8.43%,228.4,"$763,500",11.20%,222.1,"$711,600 11.38%",214.6,,"$588,000",11.36%
Toronto E03,215.4,"$663,400",16.31%,224.8,"$755,300",18.82%,208.2,"$677,900",12.00%,-,- -,157.6,,"$235,800",7.65%
Toronto E04,201.7,"$506,300",9.80%,212.1,"$626,300",10.53%,202.5,"$491,300",10.29%,186.0,"$401,900 5.20%",188.9,,"$286,200",7.64%
