Toronto C04,194,"$1,202,000",15.41%,201,"$1,405,700",15.51%,202,"$965,300",14.13%,157,"$585,400 1.36%",157,"$374,100",,12.75%
Toronto C06,204,"$815,000",13.25%,214,"$917,200",13.39%,175,"$652,900",7.83%,-,- -,190,"$420,500",,11.69%
Toronto C07,202,"$693,900",18.54%,239,"$1,095,500",19.47%,185,"$659,200",9.95%,169,"$497,400 18.13%",176,"$415,100",,19.05%
Toronto C08,178,"$459,100",0.79%,164,"$508,500",4.33%,208,"$868,600",9.86%,182,"$550,500 1.28%",176,"$388,000",,-0.40%
Toronto C09,138,"$1,027,800",8.13%,128,"$1,602,900",5.37%,146,"$1,189,600",2.45%,159,"$822,800 -7.65%",147,"$487,000",,13.16%
Toronto C10,217,"$848,100",15.09%,212,"$1,300,400",18.84%,197,"$971,000",9.40%,271,"$620,300 18.33%",196,"$469,400",,1.08%
Toronto C11,191,"$685,800",11.80%,185,"$1,237,300",10.22%,203,"$900,100",5.78%,126,"$201,300 12.78%",200,"$285,200",,14.51%
Toronto C12,184,"$1,577,700",13.43%,174,"$1,865,700",12.44%,199,"$854,500",11.35%,261,"$884,000 47.62%",175,"$549,700",,-3.05%
Toronto C13,173,"$636,400",4.29%,191,"$1,023,900",7.06%,180,"$577,400",7.27%,189,"$538,600 13.71%",152,"$300,600",,2.36%
Toronto C14,187,"$634,700",6.26%,246,"$1,334,600",14.37%,203,"$991,700",4.15%,217,"$733,900 3.28%",163,"$410,400",,3.95%
Toronto C15,189,"$632,200",7.38%,236,"$1,106,400",14.51%,212,"$690,300",11.64%,199,"$489,100 6.95%",143,"$334,900",,0.77%
Toronto E01,226,"$703,000",8.39%,236,"$796,200",13.26%,240,"$755,800",8.86%,207,"$418,800 2.68%",179,"$423,600",,-4.24%
Toronto E02,211,"$784,700",9.52%,202,"$887,400",14.10%,221,"$738,500",9.41%,212,"$680,200 8.59%",216,"$592,700",,15.61%
Toronto E03,208,"$640,300",16.08%,214,"$720,000",18.01%,204,"$665,500",12.62%,-,- -,161,"$240,700",,14.60%
Toronto E04,192,"$480,700",7.28%,197,"$582,300",8.05%,187,"$452,900",8.99%,197,"$425,300 14.95%",185,"$280,400",,0.71%
Toronto E05,188,"$502,700",9.49%,211,"$746,500",9.42%,202,"$556,600",6.93%,198,"$429,600 14.88%",159,"$311,600",,9.38%
Toronto E06,200,"$565,400",9.16%,205,"$586,700",11.64%,203,"$483,700",7.40%,211,"$521,800 19.21%",178,"$391,400",,1.08%
Toronto E07,203,"$501,000",9.84%,227,"$744,300",10.17%,217,"$567,000",9.49%,204,"$441,400 12.29%",177,"$302,200",,10.04%
Toronto E08,187,"$458,000",11.34%,200,"$625,600",12.27%,194,"$497,400",19.29%,189,"$386,400 12.81%",164,"$262,500",,13.22%
Toronto E09,177,"$427,900",6.88%,201,"$573,200",10.96%,191,"$468,200",16.70%,184,"$339,700 10.29%",147,"$276,400",,-0.20%
Toronto E10,194,"$550,300",6.29%,197,"$630,600",7.53%,190,"$494,200",6.32%,202,"$354,100 4.71%",131,"$210,400",,-5.64%
Toronto E11,183,"$403,500",11.18%,200,"$555,100",9.84%,192,"$435,700",8.77%,154,"$302,200 11.13%",147,"$218,900",,7.32%
"",,,,,,,,,,,"MLS HPI®, January 2016",,,,2
"",Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,190,"$581,100",11.28%,196,"$728,900",12.98%,200,"$565,100",11.99%,184,"$401,600",10.13%,166,"$333,500",5.87%
City of Toronto,188,"$617,100",8.35%,202,"$876,300",11.29%,205,"$680,200",8.83%,188,"$454,600",10.06%,168,"$346,300",4.88%
Toronto W01,170,"$693,600",6.38%,183,"$942,700",10.98%,192,"$742,300",9.57%,186,"$383,000",-7.74%,152,"$354,200",8.58%
Toronto W02,204,"$733,400",7.84%,212,"$871,100",8.15%,238,"$728,100",10.15%,165,"$455,700",11.09%,146,"$590,100",4.83%
Toronto W03,203,"$526,900",9.96%,207,"$563,000",10.40%,211,"$540,800",9.55%,136,"$330,100",-,154,"$293,100",13.85%
