Toronto C04,245.2,"$1,513,200",-0.41%,246.5,"$1,736,700",-3.90%,243.9,"$1,141,800",-6.23%,296.6,"$1,090,300 7.74%",233.8,"$540,700",,19.16%
Toronto C06,271.4,"$1,056,900",1.76%,261.6,"$1,117,300",-10.59%,223.3,"$826,100",1.50%,238.4,"$639,400 10.73%",284.5,"$629,200",,18.30%
Toronto C07,255.9,"$885,300",2.57%,292.7,"$1,339,000",-10.57%,212.2,"$759,300",-11.03%,235.2,"$662,900 10.22%",237.6,"$580,200",,18.27%
Toronto C08,259.5,"$678,800",11.37%,257.7,"$1,503,500",-3.81%,254.2,"$1,212,600",-4.51%,259.1,"$676,700 5.93%",259.7,"$561,400",,13.01%
Toronto C09,177.0,"$1,252,900",7.66%,139.9,"$1,757,400",-4.70%,156.6,"$1,274,300",-0.51%,275.5,"$1,508,900 7.20%",198.4,"$657,300",,14.55%
Toronto C10,260.2,"$1,015,800",7.48%,245.8,"$1,517,600",-4.95%,235.9,"$1,165,400",-5.03%,256.8,"$749,600 4.69%",270.0,"$644,800",,14.70%
Toronto C11,253.4,"$896,700",9.60%,213.1,"$1,451,600",-2.16%,237.7,"$1,052,500",-2.66%,219.9,"$380,900 0.46%",287.7,"$417,700",,18.15%
Toronto C12,219.1,"$1,869,300",-2.41%,200.4,"$2,147,800",-10.34%,254.5,"$1,065,300",-13.87%,217.8,"$871,400 0.37%",270.6,"$848,400",,20.37%
Toronto C13,239.5,"$867,200",-1.88%,253.1,"$1,349,800",-14.17%,226.4,"$722,400",-15.08%,247.7,"$716,100 3.55%",226.7,"$456,500",,18.75%
Toronto C14,262.7,"$859,000",3.26%,288.1,"$1,558,600",-16.08%,228.6,"$1,113,100",-17.74%,306.1,"$824,300 13.92%",251.6,"$633,600",,13.03%
Toronto C15,245.6,"$797,100",1.49%,299.0,"$1,403,900",-13.86%,247.0,"$803,000",-15.84%,268.9,"$643,600 3.94%",218.6,"$508,300",,23.50%
Toronto E01,312.4,"$975,600",3.44%,307.2,"$1,084,000",0.33%,315.0,"$993,700",0.22%,360.9,"$659,800 0.64%",292.9,"$694,800",,20.83%
Toronto E02,276.5,"$1,037,900",4.18%,243.8,"$1,110,800",5.50%,291.4,"$975,800",4.52%,296.1,"$889,000 1.75%",250.1,"$683,800",,-2.53%
Toronto E03,261.1,"$803,200",-1.81%,271.3,"$914,700",-2.37%,252.4,"$826,500",-2.36%,-,- -,224.7,"$328,200",,5.10%
Toronto E04,251.5,"$621,200",-1.14%,242.4,"$714,700",-12.33%,248.2,"$598,100",-8.35%,233.3,"$505,700 5.14%",276.9,"$424,900",,27.19%
Toronto E05,245.3,"$643,700",-2.00%,252.2,"$888,200",-16.27%,243.1,"$669,900",-15.74%,246.7,"$536,500 0.61%",237.1,"$465,700",,27.06%
Toronto E06,252.5,"$704,200",-5.78%,254.6,"$727,200",-6.60%,256.6,"$610,400",-5.00%,230.1,"$569,000 7.27%",235.1,"$497,200",,1.25%
