"REF_DATE","GEO","DGUID","Components","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","5880","","","","0"
"2013-02","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","6195","","","","0"
"2013-03","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","7259","","","","0"
"2013-04","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","9716","","","","0"
"2013-05","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","10519","","","","0"
"2013-06","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","10869","","","","0"
"2013-07","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","10373","","","","0"
"2013-08","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","9576","","","","0"
"2013-09","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","8046","","","","0"
"2013-10","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","7838","","","","0"
"2013-11","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","6973","","","","0"
"2013-12","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","6186","","","","0"
"2014-01","Canada","2016A000011124","Total, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667724","1.1.1","5694","","","","0"
