"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.50","","","","2"
"2006-01-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.50","","","","2"
"2006-01-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.50","","","","2"
"2006-01-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-02-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-02-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-02-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-02-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-03-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2006-03-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-03-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-03-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-03-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-04-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-04-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-04-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.00","","","","2"
"2006-04-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2006-05-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2006-05-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2006-05-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2006-05-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-05-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-06-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-06-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-06-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-06-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-07-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-07-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-07-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-07-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-08-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-08-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-08-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-08-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-08-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-09-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-09-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-09-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-09-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-10-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-10-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-10-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-10-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-11-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-11-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-11-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-11-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-11-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-12-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-12-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-12-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2006-12-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-01-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-01-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-01-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-01-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-01-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
