Date,SingleFamilyDetachedIndex,SingleFamilyDetachedReference,SingleFamilyAttachedIndex,SingleFamilyAttachedReference,TownHouseIndex,TownHouseReference,ApartmentIndex,ApartmentReference
2020-5,278.5,1222000,294.7,982300,298.3,710800,307.6,633600
2020-10,288.8,1267200,305.1,1016900,305.8,728700,296.7,611100
2020-3,275.7,1209800,293.6,978700,284.3,676800,304.6,625600
2020-9,290.3,1273800,307.1,1023600,306.0,729200,300.6,619200
2020-4,278.3,1221200,295.7,985700,289.8,689900,307.6,631800
2020-2,270.0,1184800,286.5,955100,280.4,667500,296.6,609200
2020-8,288.8,1267200,306.0,1019900,306.0,729200,301.6,621200
2020-1,265.1,1163300,281.6,938700,278.0,661800,289.7,595000
2020-7,285.1,1251000,302.6,1008600,305.2,727200,302.3,622700
2020-6,273.9,1201900,291.0,969900,300.2,715300,302.1,622200
2019-2,249.8,1096100,265.3,884400,267.1,635800,267.3,549000
2019-4,257.9,1131700,273.1,910400,268.3,638700,273.4,561500
2016-5,221.7,961300,224.1,744700,202.8,490200,176.2,364000
2017-10,248.0,1088200,253.2,844100,250.6,604600,236.3,485200
2016-8,228.6,991200,229.2,761600,210.7,509300,181.3,374600
2015-11,198,859700,203,673800,187,451000,168,347600
2015-12,199,864100,204,676100,186,449800,167,345700
2018-2,248.4,1090000,256.3,854400,251.6,607100,245.8,504700
2018-3,250.8,1100500,259.1,863700,251.6,607100,250.2,513700
2016-1,202,876300,205,680200,188,454600,168,346300
2017-5,280.1,1228500,278.5,928200,256.0,628100,231.8,477600
2019-9,258.8,1135600,276.1,920400,271.9,647200,281.4,578000
2018-4,252.9,1109700,263.4,878100,257.3,620800,254.7,523000
2019-8,258.2,1133000,274.8,916100,271.5,646300,280.6,576300
2019-11,262.7,1152700,280.4,934700,273.4,650800,286.0,587400
2017-9,249.3,1093900,253.6,845400,252.3,608700,233.7,479800
2018-10,252.8,1109300,266.7,889100,264.9,630600,262.1,538300
2018-12,250.1,1097400,264.5,881700,266.3,633900,263.4,541000
2018-11,253.2,1111000,266.6,888700,264.7,630100,261.2,536500
2017-7,261.2,1146100,263.8,879400,262.2,632600,234.4,481300
2019-1,248.2,1089100,263.2,877400,265.5,632000,261.9,537900
2016-7,228.0,988600,229.9,763900,207.2,500800,179.5,370900
2019-3,255.3,1120200,270.8,902700,266.5,634400,269.9,554300
2019-12,263.7,1157100,280.6,935400,275.0,654600,287.3,590100
2017-6,274.7,1205400,275.8,919400,261.7,631400,236.3,485200
2016-6,226.5,982100,228.8,760300,204.5,494300,177.1,365900
2018-5,256.1,1123800,267.4,891400,261.8,631700,256.7,527100
2017-1,245.4,1076300,246.0,819900,221.2,542700,196.6,405100
2015-9,197,852800,200,662900,185,446400,167,345900
2016-2,202.5,878000,207.2,688500,187.6,453400,169.0,349200
2016-4,213.1,924000,216.2,718400,196.1,474000,173.7,358900
2016-9,230.6,999900,229.2,761600,213.2,515300,184.1,380400
2019-7,258.5,1134300,274.4,914700,270.5,643900,279.8,574700
2018-7,253.6,1112800,264.7,882400,263.0,634600,258.2,530200
2017-2,252.1,1105700,250.3,834200,221.3,542900,202.2,416600
2017-8,250.7,1100100,254.9,849700,258.6,624000,232.8,478000
2016-10,235.3,1020300,234.4,778900,216.6,523500,187.7,387800
2019-5,258.9,1136000,273.3,911100,270.5,643900,276.0,566900
2017-3,267.2,1171900,263.4,877900,231.6,568200,214.1,441200
2019-6,258.7,1135200,274.0,913400,271.5,646300,277.8,570600
2018-6,255.1,1119400,266.1,887100,262.9,634300,257.8,529300
2017-12,247.3,1085100,254.5,848400,249.2,601300,238.9,490500
2015-10,197,855800,201,667800,185,447400,168,346300
2018-9,251.9,1105300,263.7,879100,264.6,629900,260.8,535600
2018-1,246.3,1080800,252.6,842100,250.6,604600,240.0,492800
2016-11,237.9,1031500,238.0,790900,219.6,530800,189.9,392300
2015-7,195,843300,200,663500,183,442800,165,341800
2017-4,279.6,1226300,275.9,919500,245.3,601800,225.3,464200
2016-12,239.6,1038900,240.3,798500,220.9,533900,192.0,396700
2018-8,250.8,1100500,261.6,872100,264.3,629200,259.8,533600
2019-10,260.9,1144800,278.9,929700,272.8,649400,283.7,582700
2016-3,207.0,897600,211.2,701800,192.2,464500,172.0,355400
2017-11,248.0,1088200,255.1,850400,248.3,599100,236.8,486200
2015-8,195,845000,199,661500,184,444000,167,344100
2013-1,153.3,664600,160.2,531300,152.4,368600,146.1,301700
2013-12,,,,,,,,
2014-12,181.1,785100,187.4,621500,170.1,411400,160.6,331600
2014-4,175.2,759500,182.5,605200,164.9,398800,157.4,325000
2013-3,,,,,,,,
2012-11,154.7,670600,162.5,538900,149.8,362300,148.5,306600
2013-8,,,,,,,,
2012-12,153.9,667200,161.2,534600,152.1,367800,147.8,305200
2014-11,180.4,782100,186.6,618800,169.9,410900,159.8,330000
2013-11,165.7,718300,171.8,569700,159.5,385700,153.7,317400
2012-10,155.2,672800,163.2,541200,150.3,363500,148.8,307200
2012-4,157.8,685600,163.6,545000,151.1,380100,149.7,327100
2015-3,186.4,808100,191.5,636300,174.3,421300,161.1,332900
2013-9,,,,,,,,
2015-1,181.6,787300,188.1,625000,170.9,413100,159.8,330200
2015-4,189.9,823300,194.3,645600,175.6,424400,163.2,337200
2012-3,155.1,677200,160.6,536800,147.9,373000,148.1,323200
2012-2,151.6,660000,158.5,529300,146.5,370200,146.7,320100
2015-2,183.2,794300,189.5,629600,171.7,415000,159.6,329800
2015-5,192.4,834200,197.6,656500,178.7,431900,164.8,340500
2014-8,177.8,770800,184.3,611200,168.4,407300,159.3,328900
2014-5,177.3,768600,183.7,609200,166.5,402700,158.2,326700
2014-10,178.6,774300,185.1,613900,169.0,408700,159.4,329100
2013-4,,,,,,,,
2014-3,173.0,750000,180.7,599300,163.2,394700,155.8,321700
2014-2,170.2,737800,177.9,590000,162.0,391800,153.9,317800
2014-9,177.4,769100,183.8,609500,169.4,409700,158.2,326700
2013-2,155.0,671900,162.7,539600,152.8,369500,147.2,303900
2013-10,162.8,705800,169.7,562800,156.3,378000,152.4,314700
2012-8,156.7,679300,162.8,539900,153.0,370000,150.0,309700
2013-6,162.7,705300,170.4,565100,155.7,376500,151.6,313000
2012-6,159.3,690600,164.5,545500,153.9,372200,150.8,311400
2012-9,155.5,674100,163.1,540900,149.9,362500,149.3,308300
2013-7,,,,,,,,
2012-7,158.0,685000,163.9,543500,153.1,370300,149.8,309300
2012-5,159.4,691000,165.5,548900,151.7,366900,150.9,311600
2014-6,178.5,773800,185.5,615200,167.3,404600,159.6,329500
2015-6,193.5,838900,199.2,661900,180.1,435300,165.2,341400
2014-7,178.7,774700,185.1,613900,168.2,406800,159.4,329100
2013-5,,,,,,,,
2014-1,168.4,730000,175.0,580400,159.2,385000,153.7,317400
