"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","24338816","","","","0"
"2006-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","24537655","","","","0"
"2006-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","24473139","","","","0"
"2006-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","24697719","","","","0"
"2006-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25218049","","","","0"
"2006-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26003706","","","","0"
"2006-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25521647","","","","0"
"2006-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25323830","","","","0"
"2006-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25594142","","","","0"
"2006-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25367423","","","","0"
"2006-11","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25670787","","","","0"
"2006-12","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26128869","","","","0"
"2007-01","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25732358","","","","0"
"2007-02","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25889746","","","","0"
"2007-03","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","25926862","","","","0"
"2007-04","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26089491","","","","0"
"2007-05","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26788781","","","","0"
"2007-06","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","27518980","","","","0"
"2007-07","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26954858","","","","0"
"2007-08","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26650537","","","","0"
"2007-09","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26733956","","","","0"
"2007-10","Ontario","2016A000235","Compensation of employees","Unadjusted","Dollars","81","thousands","3","v1996657","7.1.1","26676232","","","","0"
